cve,modAV
CVE-2018-2689,LOCAL
CVE-2018-2690,LOCAL
CVE-2018-2691,NETWORK
CVE-2018-2692,NETWORK
CVE-2018-2693,LOCAL
CVE-2018-2694,LOCAL
CVE-2018-2695,NETWORK
CVE-2018-2696,NETWORK
CVE-2018-2697,NETWORK
CVE-2018-2698,LOCAL
CVE-2018-2699,NETWORK
CVE-2018-2700,NETWORK
CVE-2018-2701,NETWORK
CVE-2018-2702,NETWORK
CVE-2018-2703,NETWORK
CVE-2018-2704,NETWORK
CVE-2018-2705,NETWORK
CVE-2018-2706,NETWORK
CVE-2018-2707,NETWORK
CVE-2018-2708,NETWORK
CVE-2018-2709,NETWORK
CVE-2018-2710,NETWORK
CVE-2018-2711,NETWORK
CVE-2018-2712,NETWORK
CVE-2018-2713,NETWORK
CVE-2018-2714,NETWORK
CVE-2018-2715,NETWORK
CVE-2018-2716,NETWORK
CVE-2018-2717,LOCAL
CVE-2018-2719,NETWORK
CVE-2018-2720,NETWORK
CVE-2018-2721,NETWORK
CVE-2018-2722,NETWORK
CVE-2018-2723,NETWORK
CVE-2018-2724,NETWORK
CVE-2018-2725,NETWORK
CVE-2018-2726,NETWORK
CVE-2018-2727,NETWORK
CVE-2018-2728,NETWORK
CVE-2018-2729,NETWORK
CVE-2018-2730,NETWORK
CVE-2018-2731,NETWORK
CVE-2018-2732,NETWORK
CVE-2018-2733,NETWORK
CVE-2018-3600,NETWORK
CVE-2018-3601,NETWORK
CVE-2018-3602,NETWORK
CVE-2018-3603,NETWORK
CVE-2018-3604,NETWORK
CVE-2018-3605,NETWORK
CVE-2018-3606,NETWORK
CVE-2018-3607,NETWORK
CVE-2018-3610,LOCAL
CVE-2018-3810,NETWORK
CVE-2018-3811,NETWORK
CVE-2018-3813,NETWORK
CVE-2018-3814,NETWORK
CVE-2018-3815,NETWORK
CVE-2018-3835,NETWORK
CVE-2018-4834,NETWORK
CVE-2018-4835,NETWORK
CVE-2018-4836,NETWORK
CVE-2018-4837,NETWORK
CVE-2018-4862,NETWORK
CVE-2018-4868,NETWORK
CVE-2018-4871,NETWORK
CVE-2018-4877,NETWORK
CVE-2018-4878,NETWORK
CVE-2018-5071,NETWORK
CVE-2018-5072,NETWORK
CVE-2018-5073,NETWORK
CVE-2018-5074,NETWORK
CVE-2018-5075,NETWORK
CVE-2018-5076,NETWORK
CVE-2018-5077,NETWORK
CVE-2018-5078,NETWORK
CVE-2018-5079,LOCAL
CVE-2018-5080,LOCAL
CVE-2018-5081,LOCAL
CVE-2018-5082,LOCAL
CVE-2018-5083,LOCAL
CVE-2018-5084,LOCAL
CVE-2018-5085,LOCAL
CVE-2018-5086,LOCAL
CVE-2018-5087,LOCAL
CVE-2018-5088,LOCAL
CVE-2018-5189,LOCAL
CVE-2018-5195,NETWORK
CVE-2018-5205,NETWORK
CVE-2018-5206,NETWORK
CVE-2018-5207,NETWORK
CVE-2018-5208,NETWORK
CVE-2018-5210,NETWORK
CVE-2018-5211,NETWORK
CVE-2018-5212,NETWORK
CVE-2018-5213,NETWORK
CVE-2018-5214,NETWORK
CVE-2018-5215,NETWORK
CVE-2018-5216,NETWORK
CVE-2018-5217,LOCAL
CVE-2018-5218,LOCAL
CVE-2018-5219,LOCAL
CVE-2018-5220,LOCAL
CVE-2018-5221,NETWORK
CVE-2018-5244,LOCAL
CVE-2018-5246,NETWORK
CVE-2018-5247,NETWORK
CVE-2018-5248,NETWORK
CVE-2018-5249,NETWORK
CVE-2018-5251,NETWORK
CVE-2018-5252,NETWORK
CVE-2018-5253,NETWORK
CVE-2018-5258,NETWORK
CVE-2018-5259,NETWORK
CVE-2018-5261,NETWORK
CVE-2018-5262,NETWORK
CVE-2018-5263,NETWORK
CVE-2018-5266,NETWORK
CVE-2018-5267,NETWORK
CVE-2018-5268,NETWORK
CVE-2018-5269,NETWORK
CVE-2018-5270,LOCAL
CVE-2018-5271,LOCAL
CVE-2018-5272,LOCAL
CVE-2018-5273,LOCAL
